date,asset,signal_close_cny,ma250_cny,below_count,above_count,state,pending_action,signal_paused,check_frequency
2006-01-03,nasdaq100,333.37997308273316,313.9466685855835,0,0,on,,False,daily
2006-01-03,gold,428.68902399999996,364.37466634,0,0,on,,False,daily
2006-01-04,nasdaq100,336.85016154556274,314.0244541822815,0,0,on,,False,daily
2006-01-04,gold,430.14165999999994,364.71007794,0,0,on,,False,daily
2006-01-05,nasdaq100,338.202161227417,314.101026552449,0,0,on,,False,daily
2006-01-05,gold,422.26865200000003,365.010355848,0,0,on,,False,daily
2006-01-06,nasdaq100,344.2696864616394,314.2025311587082,0,0,on,,False,daily
2006-01-06,gold,433.321636,365.346238132,0,0,on,,False,daily
2006-01-09,nasdaq100,345.64951269149776,314.3184937050415,0,0,on,,False,daily
2006-01-09,gold,440.4309,365.69764613200005,0,0,on,,False,daily
2006-01-10,nasdaq100,345.6556886100769,314.42388691886293,0,0,on,,False,daily
2006-01-10,gold,435.77766,366.03044117199994,0,0,on,,False,daily
2006-01-11,nasdaq100,348.62691461334225,314.5580491674194,0,0,on,,False,daily
2006-01-11,gold,439.95894599999997,366.38923103599996,0,0,on,,False,daily
2006-01-12,nasdaq100,346.94550000000004,314.6735675773163,0,0,on,,False,daily
2006-01-12,gold,439.168455,366.744858936,0,0,on,,False,daily
2006-01-13,nasdaq100,346.84000030593876,314.7790632181275,0,0,on,,False,daily
2006-01-13,gold,439.23921400000006,367.102756232,0,0,on,,False,daily
2006-01-17,nasdaq100,344.48652615509036,314.8963327821289,0,0,on,,False,daily
2006-01-17,gold,445.815576,367.487290036,0,0,on,,False,daily
2006-01-18,nasdaq100,340.5713776130676,315.02210924309696,0,0,on,,False,daily
2006-01-18,gold,439.813935,367.831595336,0,0,on,,False,daily
2006-01-19,nasdaq100,343.08112769355773,315.16785647912906,0,0,on,,False,daily
2006-01-19,gold,448.539033,368.209807848,0,0,on,,False,daily
2006-01-20,nasdaq100,332.45849999999996,315.28832833954164,0,0,on,,False,daily
2006-01-20,gold,444.88992,368.590970088,0,0,on,,False,daily
2006-01-23,nasdaq100,332.74125646400455,315.4039721357071,0,0,on,,False,daily
2006-01-23,gold,449.75716500000004,368.97670360800004,0,0,on,,False,daily
2006-01-24,nasdaq100,334.1099889278412,315.51052414090276,0,0,on,,False,daily
2006-01-24,gold,449.32312499999995,369.363018388,0,0,on,,False,daily
2006-01-25,nasdaq100,332.67936646652225,315.61300905728456,0,0,on,,False,daily
2006-01-25,gold,452.65682000000004,369.76035052800006,0,0,on,,False,daily
2006-01-26,nasdaq100,334.9760938491821,315.7306399733002,0,0,on,,False,daily
2006-01-26,gold,450.50455999999997,370.164633448,0,0,on,,False,daily
2006-01-27,nasdaq100,339.4402929199219,315.8502366944641,0,0,on,,False,daily
2006-01-27,gold,448.42230400000005,370.56456006400003,0,0,on,,False,daily
2006-01-30,nasdaq100,340.0851409301758,315.9684401230301,0,0,on,,False,daily
2006-01-30,gold,456.886144,370.99635568,0,0,on,,False,daily
2006-01-31,nasdaq100,338.5536,316.07853098241117,0,0,on,,False,daily
2006-01-31,gold,457.04736,371.44468703999996,0,0,on,,False,daily
2006-02-01,nasdaq100,339.7964523010254,316.20782884109957,0,0,on,,False,daily
2006-02-01,gold,457.09272000000004,371.9001521,0,0,on,,False,daily
2006-02-02,nasdaq100,333.9920904602051,316.29404570294037,0,0,on,,False,daily
2006-02-02,gold,459.349968,372.371267352,0,0,on,,False,daily
2006-02-03,nasdaq100,329.8806572387696,316.3664653725143,0,0,on,,False,daily
2006-02-03,gold,455.48040000000003,372.827235392,0,0,on,,False,daily
2006-02-06,nasdaq100,328.7653710632324,316.43210636119994,0,0,on,,False,daily
2006-02-06,gold,456.93631999999997,373.287371812,0,0,on,,False,daily
2006-02-07,nasdaq100,327.3396666053772,316.5129013474151,0,0,on,,False,daily
2006-02-07,gold,439.89036,373.66475775200007,0,0,on,,False,daily
2006-02-08,nasdaq100,331.0399377098084,316.6071731477387,0,0,on,,False,daily
2006-02-08,gold,441.628235,374.038170212,0,0,on,,False,daily
2006-02-09,nasdaq100,327.9516106246948,316.6708833649796,0,0,on,,False,daily
2006-02-09,gold,452.574844,374.43980928800005,0,0,on,,False,daily
2006-02-10,nasdaq100,329.79352862854006,316.7363332948547,0,0,on,,False,daily
2006-02-10,gold,441.14716400000003,374.79474446399996,0,0,on,,False,daily
2006-02-13,nasdaq100,325.83114150695803,316.7776571762436,0,0,on,,False,daily
2006-02-13,gold,432.295584,375.11625968000004,0,0,on,,False,daily
2006-02-14,nasdaq100,329.1509422798157,316.8368950805176,0,0,on,,False,daily
2006-02-14,gold,438.5191730000001,375.455716992,0,0,on,,False,daily
2006-02-15,nasdaq100,331.2597947719574,316.92145239919284,0,0,on,,False,daily
2006-02-15,gold,432.66585599999996,375.771761036,0,0,on,,False,daily
2006-02-16,nasdaq100,334.3720833694458,317.0224316831863,0,0,on,,False,daily
2006-02-16,gold,438.853288,376.11189268800007,0,0,on,,False,daily
2006-02-17,nasdaq100,331.71164563064576,317.1279979459152,0,0,on,,False,daily
2006-02-17,gold,438.84783600000003,376.42982151200005,0,0,on,,False,daily
2006-02-21,nasdaq100,327.976375,317.2169678513794,0,0,on,,False,daily
2006-02-21,gold,443.63332,376.769871812,0,0,on,,False,daily
2006-02-22,nasdaq100,332.13060848884584,317.3069948303864,0,0,on,,False,daily
2006-02-22,gold,445.470398,377.117270424,0,0,on,,False,daily
2006-02-23,nasdaq100,331.1628672798157,317.38619861486666,0,0,on,,False,daily
2006-02-23,gold,439.726328,377.436064736,0,0,on,,False,daily
2006-02-24,nasdaq100,331.8624184997559,317.4814429284531,0,0,on,,False,daily
2006-02-24,gold,447.52364800000004,377.78538620800003,0,0,on,,False,daily
2006-02-27,nasdaq100,335.5122498168945,317.5777131123596,0,0,on,,False,daily
2006-02-27,gold,444.07923999999997,378.13086184800005,0,0,on,,False,daily
2006-02-28,nasdaq100,330.5056377296447,317.6546189830719,0,0,on,,False,daily
2006-02-28,gold,450.88690499999996,378.502574968,0,0,on,,False,daily
2006-03-01,nasdaq100,334.9047387733459,317.75938416342314,0,0,on,,False,daily
2006-03-01,gold,450.98789999999997,378.883961748,0,0,on,,False,daily
2006-03-02,nasdaq100,335.1625749595642,317.8578973281067,0,0,on,,False,daily
2006-03-02,gold,456.15555600000005,379.272445692,0,0,on,,False,daily
2006-03-03,nasdaq100,333.1751061325073,317.93058334717256,0,0,on,,False,daily
2006-03-03,gold,452.37864,379.64284243199995,0,0,on,,False,daily
2006-03-06,nasdaq100,330.28963922653196,318.0043078139755,0,0,on,,False,daily
2006-03-06,gold,443.94978599999996,379.96098439599996,0,0,on,,False,daily
2006-03-07,nasdaq100,328.5361127281189,318.0746598549911,0,0,on,,False,daily
2006-03-07,gold,441.935375,380.271399776,0,0,on,,False,daily
2006-03-08,nasdaq100,328.9054034042358,318.1481443334534,0,0,on,,False,daily
2006-03-08,gold,434.32897199999996,380.545430464,0,0,on,,False,daily
2006-03-09,nasdaq100,326.104963684082,318.22201422880863,0,0,on,,False,daily
2006-03-09,gold,436.52352,380.820624964,0,0,on,,False,daily
2006-03-10,nasdaq100,326.47556305389406,318.2917384359726,0,0,on,,False,daily
2006-03-10,gold,433.28843600000005,381.09612152799997,0,0,on,,False,daily
2006-03-13,nasdaq100,327.4943424568176,318.3754695354904,0,0,on,,False,daily
2006-03-13,gold,437.222655,381.386361788,0,0,on,,False,daily
2006-03-14,nasdaq100,332.91679240455625,318.4947950204697,0,0,on,,False,daily
2006-03-14,gold,441.555351,381.685656332,0,0,on,,False,daily
2006-03-15,nasdaq100,335.3203378112793,318.6207551420243,0,0,on,,False,daily
2006-03-15,gold,443.021488,382.007037364,0,0,on,,False,daily
2006-03-16,nasdaq100,332.5527364139557,318.7422660832474,0,0,on,,False,daily
2006-03-16,gold,444.85059000000007,382.333417384,0,0,on,,False,daily
2006-03-17,nasdaq100,332.7854761253357,318.86239044712977,0,0,on,,False,daily
2006-03-17,gold,442.53643200000005,382.677025572,0,0,on,,False,daily
2006-03-20,nasdaq100,333.4387438774109,319.0000256072785,0,0,on,,False,daily
2006-03-20,gold,442.73925,383.036011672,0,0,on,,False,daily
2006-03-21,nasdaq100,329.9981968994141,319.11959489044335,0,0,on,,False,daily
2006-03-21,gold,440.131376,383.392180656,0,0,on,,False,daily
2006-03-22,nasdaq100,330.9410186477661,319.2426043298798,0,0,on,,False,daily
2006-03-22,gold,439.67535,383.746525536,0,0,on,,False,daily
2006-03-23,nasdaq100,329.84586722488405,319.35891575372773,0,0,on,,False,daily
2006-03-23,gold,439.09878000000003,384.09459141599996,0,0,on,,False,daily
2006-03-24,nasdaq100,331.795933870697,319.4926282144684,0,0,on,,False,daily
2006-03-24,gold,447.562998,384.47585204800004,0,0,on,,False,daily
2006-03-27,nasdaq100,331.49210601997373,319.602613273703,0,0,on,,False,daily
2006-03-27,gold,452.501555,384.87521160800003,0,0,on,,False,daily
2006-03-28,nasdaq100,329.99216310424805,319.71189551622314,0,0,on,,False,daily
2006-03-28,gold,449.668472,385.25628657600004,0,0,on,,False,daily
2006-03-29,nasdaq100,336.533745300293,319.8595932721664,0,0,on,,False,daily
2006-03-29,gold,458.15796,385.677940696,0,0,on,,False,daily
2006-03-30,nasdaq100,337.53534387588496,320.00268991797947,0,0,on,,False,daily
2006-03-30,gold,470.38219999999995,386.155775096,0,0,on,,False,daily
2006-03-31,nasdaq100,336.1402334465027,320.13689544630125,0,0,on,,False,daily
2006-03-31,gold,465.77027000000004,386.613506476,0,0,on,,False,daily
2006-04-03,nasdaq100,336.72157632827765,320.2754127516144,0,0,on,,False,daily
2006-04-03,gold,468.98787000000004,387.078149176,0,0,on,,False,daily
2006-04-04,nasdaq100,338.49886665802,320.4064726237106,0,0,on,,False,daily
2006-04-04,gold,467.7716019999999,387.539913164,0,0,on,,False,daily
2006-04-05,nasdaq100,341.3742808898926,320.5589659274765,0,0,on,,False,daily
2006-04-05,gold,469.96045599999997,388.00645984799996,0,0,on,,False,daily
2006-04-06,nasdaq100,342.2587503334046,320.72029406396484,0,0,on,,False,daily
2006-04-06,gold,474.820944,388.489468944,0,0,on,,False,daily
2006-04-07,nasdaq100,339.1101575546265,320.86306873923496,0,0,on,,False,daily
2006-04-07,gold,469.48167,388.949134584,0,0,on,,False,daily
2006-04-10,nasdaq100,338.24902656555173,321.022262440033,0,0,on,,False,daily
2006-04-10,gold,477.03839999999997,389.43704078400003,0,0,on,,False,daily
2006-04-11,nasdaq100,335.5486253433228,321.1875386666642,0,0,on,,False,daily
2006-04-11,gold,472.345545,389.925708104,0,0,on,,False,daily
2006-04-12,nasdaq100,335.92219744491575,321.3811249608765,0,0,on,,False,daily
2006-04-12,gold,476.123445,390.426507484,0,0,on,,False,daily
2006-04-13,nasdaq100,337.844067755127,321.582067731897,0,0,on,,False,daily
2006-04-13,gold,476.91386400000005,390.9208678,0,0,on,,False,daily
2006-04-17,nasdaq100,333.938226776886,321.7594416434372,0,0,on,,False,daily
2006-04-17,gold,489.68522200000007,391.446781008,0,0,on,,False,daily
2006-04-18,nasdaq100,340.2744326629638,321.97176114883115,0,0,on,,False,daily
2006-04-18,gold,495.66589999999997,391.99264420800006,0,0,on,,False,daily
2006-04-19,nasdaq100,341.7459322265625,322.1595091930985,0,0,on,,False,daily
2006-04-19,gold,510.81600000000003,392.606060068,0,0,on,,False,daily
2006-04-20,nasdaq100,340.4675,322.35968964804687,0,0,on,,False,daily
2006-04-20,gold,488.35056,393.122992968,0,0,on,,False,daily
2006-04-21,nasdaq100,336.69300000000004,322.5351713326859,0,0,on,,False,daily
2006-04-21,gold,506.6428000000001,393.711439528,0,0,on,,False,daily
2006-04-24,nasdaq100,336.36394066085813,322.7202618205872,0,0,on,,False,daily
2006-04-24,gold,494.20489499999996,394.243513268,0,0,on,,False,daily
2006-04-25,nasdaq100,335.37869144439696,322.8997560368805,0,0,on,,False,daily
2006-04-25,gold,502.8678,394.824805268,0,0,on,,False,daily
2006-04-26,nasdaq100,335.5623228927612,323.09157182845155,0,0,on,,False,daily
2006-04-26,gold,510.23749499999997,395.442197248,0,0,on,,False,daily
2006-04-27,nasdaq100,338.94631653785706,323.2893092297577,0,0,on,,False,daily
2006-04-27,gold,504.97068,396.026934868,0,0,on,,False,daily
2006-04-28,nasdaq100,335.49051276779176,323.4685885961899,0,0,on,,False,daily
2006-04-28,gold,521.793985,396.69452552800004,0,0,on,,False,daily
2006-05-01,nasdaq100,332.2037489910126,323.6287618174118,0,0,on,,False,daily
2006-05-01,gold,522.35514,397.368333528,0,0,on,,False,daily
2006-05-02,nasdaq100,333.0855688838959,323.7782267281021,0,0,on,,False,daily
2006-05-02,gold,533.498075,398.082078428,0,0,on,,False,daily
2006-05-03,nasdaq100,332.33491344451903,323.9236958774475,0,0,on,,False,daily
2006-05-03,gold,532.3445999999999,398.790878368,0,0,on,,False,daily
2006-05-04,nasdaq100,335.1168766693115,324.0769822039185,0,0,on,,False,daily
2006-05-04,gold,540.609272,399.545648336,0,0,on,,False,daily
2006-05-05,nasdaq100,337.7606227775574,324.23521555544136,0,0,on,,False,daily
2006-05-05,gold,544.695086,400.31576838,0,0,on,,False,daily
2006-05-08,nasdaq100,337.8954061088562,324.402595544722,0,0,on,,False,daily
2006-05-08,gold,540.95292,401.06794021999997,0,0,on,,False,daily
2006-05-09,nasdaq100,336.496575328064,324.5584211207764,0,0,on,,False,daily
2006-05-09,gold,557.7326560000001,401.885575704,0,0,on,,False,daily
2006-05-10,nasdaq100,333.4933293457031,324.7055443886749,0,0,on,,False,daily
2006-05-10,gold,563.2652159999999,402.74288760800005,0,0,on,,False,daily
2006-05-11,nasdaq100,326.07482543411254,324.8100821948441,0,0,on,,False,daily
2006-05-11,gold,568.509914,403.628130564,0,0,on,,False,daily
2006-05-12,nasdaq100,321.74505300598145,324.8893555420227,0,0,on,,False,daily
2006-05-12,gold,569.3582719999999,404.519084372,0,0,on,,False,daily
2006-05-15,nasdaq100,321.4004787788391,324.95996723188017,0,0,on,,False,daily
2006-05-15,gold,539.48223,405.291196132,0,0,on,,False,daily
2006-05-16,nasdaq100,318.8999348831177,325.0040237461548,0,0,on,,False,daily
2006-05-16,gold,548.914305,406.094746052,0,0,on,,False,daily
2006-05-17,nasdaq100,314.63863755798343,325.020772291954,0,0,on,sell,False,daily
2006-05-17,gold,545.3363,406.886301372,0,0,on,,False,daily
2006-05-18,nasdaq100,312.7709688892364,325.02508421256255,0,0,off,,False,daily
2006-05-18,gold,540.3208699999999,407.668719952,0,0,on,,False,daily
2006-05-19,nasdaq100,315.4886127662659,325.03397661414334,0,0,off,,False,daily
2006-05-19,gold,525.78765,408.393998832,0,0,on,,False,daily
2006-05-22,nasdaq100,312.7537447967529,325.0279567329178,0,0,off,,False,daily
2006-05-22,gold,524.0651499999999,409.108746052,0,0,on,,False,daily
2006-05-23,nasdaq100,309.62686622428896,325.01472629235076,0,0,off,,False,daily
2006-05-23,gold,532.59993,409.852997552,0,0,on,,False,daily
2006-05-24,nasdaq100,311.47986276626585,324.99632764888,0,0,off,,False,daily
2006-05-24,gold,513.60105,410.527212612,0,0,on,,False,daily
2006-05-25,nasdaq100,315.8049648971558,324.9945672787781,0,0,off,,False,daily
2006-05-25,gold,519.12045,411.223505272,0,0,on,,False,daily
2006-05-26,nasdaq100,316.8875184688568,325.0014408120346,0,0,off,,False,daily
2006-05-26,gold,519.18515,411.921380972,0,0,on,,False,daily
2006-05-30,nasdaq100,310.2791950988769,324.9716182726364,0,0,off,,False,daily
2006-05-30,gold,522.8333,412.63782199200006,0,0,on,,False,daily
2006-05-31,nasdaq100,311.39462755203243,324.9373188278961,0,0,off,,False,daily
2006-05-31,gold,515.220945,413.304943172,0,0,on,,False,daily
2006-06-01,nasdaq100,318.65122945861816,324.9505851962463,0,0,off,,False,daily
2006-06-01,gold,501.631104,413.915387568,0,0,on,,False,daily
2006-06-02,nasdaq100,318.0118951034546,324.96096309645384,0,0,off,,False,daily
2006-06-02,gold,509.42875000000004,414.546759688,0,0,on,,False,daily
2006-06-05,nasdaq100,310.46103622741697,324.9517314710541,0,0,off,,False,daily
2006-06-05,gold,506.6807529999999,415.17045042,0,0,on,,False,daily
2006-06-06,nasdaq100,310.46500000000003,324.9451642413635,0,0,off,,False,daily
2006-06-06,gold,501.1506,415.77334478000006,0,0,on,,False,daily
2006-06-07,nasdaq100,308.3376586601257,324.9221421507462,0,0,off,,False,daily
2006-06-07,gold,499.304988,416.371174112,0,0,on,,False,daily
2006-06-08,nasdaq100,307.52257221984866,324.90910216488345,0,0,off,,False,daily
2006-06-08,gold,487.79164399999996,416.911362968,0,0,on,,False,daily
2006-06-09,nasdaq100,305.6196622238159,324.88249144893337,0,0,off,,False,daily
2006-06-09,gold,484.26495,417.432148088,0,0,on,,False,daily
2006-06-12,nasdaq100,299.76101222991946,324.8374119572342,0,0,off,,False,daily
2006-06-12,gold,481.14045000000004,417.946394288,0,0,on,,False,daily
